setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,94,,4,,0.8,4,94,3,1,3,0.844964027404785,3,0.468684196472168
2,100,102,1,4,0.8,3,NaN,5,1,5,0,3,0.675212860107422
1,10,,1,,0.5,1,10,4,1,4,1.58901691436768,3,0.973056077957153
2,346,70,2,3,0.8,1,NaN,5,1,5,0,3,0.908034086227417
1,110,,1,,0.8,1,110,3,1,1,1.04971504211426,3,0.641725063323975
2,98,112,1,4,0.5,4,112,3,1,3,1.61984300613403,2,0.667814970016479
2,10,338,1,2,0.8,2,338,1,1,1,1.9543719291687,3,0.554141998291016
2,354,10,1,3,0.8,2,NaN,5,1,5,0.876187801361084,3,0.660426139831543
1,338,,4,,0.5,4,338,1,1,1,0.906471967697144,3,0.578387975692749
2,96,342,1,4,0.8,1,96,3,1,2,0.788645029067993,3,0.572548866271973
2,106,110,1,2,0.8,2,110,3,1,4,2.37093496322632,2,0.474840879440308
2,106,76,2,3,0.5,3,76,2,1,2,1.96497702598572,2,0.645133018493652
2,104,104,2,3,0.8,1,NaN,5,1,5,1.11524796485901,3,1.10730218887329
1,22,,2,,0.5,2,22,4,1,2,0.853307962417603,2,1.08963704109192
2,16,78,2,4,0.8,4,78,2,1,2,1.89174103736877,2,0.603929996490479
1,4,,2,,0.5,2,4,4,1,4,1.37403297424316,3,0.63395881652832
1,102,,1,,0.8,2,NaN,5,1,5,0.956045150756836,3,1.04404592514038
2,104,350,1,4,0.5,2,NaN,5,1,5,0,3,0.75440502166748
1,20,,1,,0.8,1,20,4,1,4,0.628271102905273,3,0.620559215545654
1,72,,3,,0.8,3,72,2,1,2,0.638420104980469,3,0.650586843490601
1,86,,1,,0.8,4,NaN,5,1,3,2.02891492843628,1,0.884650945663452
1,94,,4,,0.8,4,94,3,1,3,0.966837167739868,2,0.563414096832275
1,350,,4,,0.8,2,NaN,5,1,5,0,3,1.51734089851379
2,70,354,1,2,0.8,2,354,1,1,1,1.3432469367981,3,0.875449180603027
1,98,,2,,0.5,3,NaN,5,1,5,1.24572086334229,3,0.773623943328857
1,106,,2,,0.5,4,NaN,5,1,5,0,3,0.81983208656311
1,22,,3,,0.5,2,NaN,5,1,5,1.90982794761658,3,0.90998911857605
2,80,16,1,2,0.8,4,NaN,5,1,5,0.95810079574585,3,0.921274185180664
1,106,,3,,0.5,3,106,3,1,3,0.566988945007324,3,0.607108116149902
1,344,,3,,0.8,3,344,1,1,1,0.817138910293579,3,0.985152006149292
2,348,342,3,4,0.5,4,342,1,1,1,1.24322295188904,3,0.583545923233032
1,346,,2,,0.5,3,NaN,5,1,5,1.99371194839478,3,0.609519958496094
2,112,18,3,4,0.5,4,18,4,1,4,1.255854845047,3,0.815769910812378
2,346,98,1,3,0.5,2,NaN,5,1,5,1.84189200401306,3,0.68198299407959
2,84,340,2,4,0.5,4,340,1,1,1,1.2641749382019,2,0.632197141647339
1,22,,2,,0.5,2,22,4,1,4,0.922302007675171,3,0.738553047180176
1,100,,2,,0.8,1,NaN,5,1,5,1.78453516960144,3,0.880600214004517
2,74,4,1,2,0.8,1,74,2,1,2,1.61871910095215,3,0.570850133895874
2,96,6,2,3,0.8,2,96,3,1,3,1.02504515647888,3,0.601048946380615
1,10,,4,,0.5,4,10,4,1,4,0.747276067733765,3,0.851244211196899
1,344,,3,,0.8,2,NaN,5,1,5,1.51339292526245,3,1.31358909606934
2,4,106,1,4,0.8,3,NaN,5,1,5,1.10731410980225,3,0.571353912353516
1,346,,1,,0.8,1,346,1,1,1,0.62571382522583,3,0.537690877914429
1,82,,3,,0.8,3,82,2,1,2,0.907895088195801,3,0.740020036697388
2,22,346,3,4,0.5,4,346,1,1,1,1.17798590660095,3,0.530267953872681
2,102,10,3,4,0.8,1,NaN,5,1,5,1.3959047794342,3,0.860317945480347
1,16,,4,,0.8,3,NaN,5,1,5,1.13849306106567,3,0.474576950073242
2,354,356,2,3,0.8,1,NaN,5,1,5,1.29244995117188,3,0.612504959106445
1,70,,3,,0.5,3,70,2,1,2,0.875037908554077,3,1.07491302490234
2,112,110,1,4,0.5,1,112,3,1,1,1.30100703239441,3,1.31324315071106
2,356,342,1,4,0.5,3,NaN,5,1,5,1.34720516204834,3,0.491409063339233
1,100,,3,,0.5,1,NaN,5,1,5,0.474113941192627,3,0.819485187530518
1,112,,1,,0.8,4,NaN,5,1,5,1.00478911399841,3,0.820834159851074
2,20,12,1,3,0.8,4,NaN,5,1,5,1.8630359172821,3,0.595224142074585
2,22,72,3,4,0.8,4,72,2,1,4,1.47709798812866,3,0.609354019165039
2,98,84,2,4,0.5,2,98,3,1,4,1.03937888145447,3,0.491809844970703
2,106,10,1,3,0.8,4,NaN,5,1,5,1.24560499191284,3,0.661587953567505
2,346,72,2,4,0.5,2,346,1,1,1,1.2239248752594,3,1.15595316886902
1,6,,1,,0.5,4,NaN,5,1,5,1.23795199394226,3,0.926245927810669
